"","id","cluster.PAM"
"NYMP.6515","NYMP.6515",1
"NYSQ.6515","NYSQ.6515",1
"NYTA.6515","NYTA.6515",1
"OPTR.62415","OPTR.62415",1
"OXYT.6215","OXYT.6215",1
"PAFU.PIST.62315","PAFU.PIST.62315",1
"PEIL.62515","PEIL.62515",1
"PHRI.POTR.61715","PHRI.POTR.61715",1
"POLE.62415","POLE.62415",1
"PSEUDOMYR.6215","PSEUDOMYR.6215",1
"PTBR.52015","PTBR.52015",1
"PTER.6515","PTER.6515",1
"PYIS.ROMU.101215","PYIS.ROMU.101215",1
"RL.SM.10.H","RL.SM.10.H",1
"RL.SM.15.F","RL.SM.15.F",1
"RL.SM.15.H","RL.SM.15.H",2
"RL.SM.22.F","RL.SM.22.F",1
"RL.SM.22.H","RL.SM.22.H",1
"RL.SM.8.H","RL.SM.8.H",1
"SARE.52215","SARE.52215",1
"SC.SS.17.H","SC.SS.17.H",1
"SC.SS.7.F","SC.SS.7.F",1
"SC.SS.7.H","SC.SS.7.H",1
"SEAL.BEPO.RUOC.71315","SEAL.BEPO.RUOC.71315",1
"SPHI.52815","SPHI.52815",1
"SPHI.61215","SPHI.61215",1
"SPLA.62015","SPLA.62015",1
"SPLE.62515","SPLE.62515",1
"SPOD.61615","SPOD.61615",1
"TARC.6215","TARC.6215",1
"TAYG.6515","TAYG.6515",1
"TECA.PRSE.72215","TECA.PRSE.72215",1
"TECR.BEPO.72215","TECR.BEPO.72215",1
"TT.PQ.4.F","TT.PQ.4.F",1
"TT.PQ.4.M","TT.PQ.4.M",1
"UDKI.6915","UDKI.6915",1
"SRR2532226","SRR2532226",1
"SRR2532229","SRR2532229",1
"SRR2532230","SRR2532230",1
"SRR2532240","SRR2532240",1
"SRR2532243","SRR2532243",1
"SRR2532245","SRR2532245",1
"SRR2532253","SRR2532253",1
"SRR2532256","SRR2532256",1
"SRR2532257","SRR2532257",1
"ERR1101979","ERR1101979",1
"ERR1101826","ERR1101826",1
"ERR1101997","ERR1101997",1
"ERR1101864","ERR1101864",1
"ERR1101816","ERR1101816",1
"ERR1101849","ERR1101849",1
"ERR1101842","ERR1101842",1
"ERR1102000","ERR1102000",1
"ERR1101920","ERR1101920",1
"ERR1101992","ERR1101992",1
"ERR1101944","ERR1101944",1
"ERR1101827","ERR1101827",1
"ERR1101904","ERR1101904",1
"ERR1101996","ERR1101996",1
"ERR1102001","ERR1102001",1
"ERR1101808","ERR1101808",1
"ERR1101883","ERR1101883",1
"ERR1101985","ERR1101985",1
"ERR1101990","ERR1101990",1
"ERR1101987","ERR1101987",1
"ERR1101813","ERR1101813",1
"ERR1101874","ERR1101874",1
"ERR1101810","ERR1101810",1
"ERR1101965","ERR1101965",1
"ERR1101972","ERR1101972",1
"ERR1101923","ERR1101923",1
"ERR1697524","ERR1697524",1
"ERR1697594","ERR1697594",1
"ERR1697587","ERR1697587",1
"ERR1697562","ERR1697562",1
"ERR1697659","ERR1697659",1
"ERR1697655","ERR1697655",1
"ERR1697609","ERR1697609",1
"ERR1697540","ERR1697540",1
"ERR1697554","ERR1697554",1
"ERR1697683","ERR1697683",1
"X10.4.2.21.7.2014","X10.4.2.21.7.2014",1
"X10.4.3.21.7.2014","X10.4.3.21.7.2014",1
"X13.7.3.21.7.14","X13.7.3.21.7.14",1
"X16.5.1.21.7.2014","X16.5.1.21.7.2014",2
"X17.9.F.16.6.14","X17.9.F.16.6.14",1
"X17.9.M.16.6.14","X17.9.M.16.6.14",1
"X28.8.F.16.6.2014","X28.8.F.16.6.2014",1
"X30.6.M.16.6.2014","X30.6.M.16.6.2014",1
"X33.8.20.6.2014","X33.8.20.6.2014",1
"X43.8.20.6.2014","X43.8.20.6.2014",1
"X49.5.11.6.2014","X49.5.11.6.2014",1
"X52.4.20.6.14","X52.4.20.6.14",1
"X54.4.20.6.14","X54.4.20.6.14",1
"X67.6.11.6.2014","X67.6.11.6.2014",1
"X74.4.20.6.14","X74.4.20.6.14",1
"X940.F.01","X940.F.01",1
"X1773.Thraupis.gauco3.lgi","X1773.Thraupis.gauco3.lgi",2
"X894.MR209.lane3.NoIndex.L003","X894.MR209.lane3.NoIndex.L003",1
"X1734.BD.ERD510","X1734.BD.ERD510",1
"X894.OS590.lane3.NoIndex.L003","X894.OS590.lane3.NoIndex.L003",1
"X1734.LD.NBS1062E","X1734.LD.NBS1062E",2
"X1773.Columb.passer5.lgi","X1773.Columb.passer5.lgi",1
"X940.CR.53.Fecal","X940.CR.53.Fecal",1
"X1734.LD.QCAZ.M51303","X1734.LD.QCAZ.M51303",1
"X894.F1468.lane5.NoIndex.L005","X894.F1468.lane5.NoIndex.L005",1
"X1734.LD.Carsow1","X1734.LD.Carsow1",1
"X894.SV1759.lane5.NoIndex.L005","X894.SV1759.lane5.NoIndex.L005",1
"X894.OS465.lane3.NoIndex.L003","X894.OS465.lane3.NoIndex.L003",1
"X1696.CT0001.3","X1696.CT0001.3",1
"X1734.LD.NBS1076E","X1734.LD.NBS1076E",2
"X1064.G.CV05","X1064.G.CV05",1
"X894.F1456.lane5.NoIndex.L005","X894.F1456.lane5.NoIndex.L005",1
"X2300.BB.4064.anus","X2300.BB.4064.anus",1
"X894.MR511.lane3.NoIndex.L003","X894.MR511.lane3.NoIndex.L003",1
"X1064.G.CV315","X1064.G.CV315",1
"X1064.G.CV04","X1064.G.CV04",1
"X894.YY1654.lane5.NoIndex.L005","X894.YY1654.lane5.NoIndex.L005",1
"X1734.LD.QCAZ.M50993","X1734.LD.QCAZ.M50993",1
"X1056.Myr.tri.Seat.9.04I04","X1056.Myr.tri.Seat.9.04I04",2
"X1773.Turdus.oliv2.gizz","X1773.Turdus.oliv2.gizz",1
"X1734.BD.ERD511","X1734.BD.ERD511",1
"X1734.LD.QCAZ.M50991","X1734.LD.QCAZ.M50991",1
"X894.MR298.lane3.NoIndex.L003","X894.MR298.lane3.NoIndex.L003",1
"X1056.Myr.tri.Seat.27.04K10","X1056.Myr.tri.Seat.27.04K10",1
"X940.P.03.Fecal","X940.P.03.Fecal",1
"X1773.Thraupis.gauco2.lgi","X1773.Thraupis.gauco2.lgi",1
"X894.YY1655.lane5.NoIndex.L005","X894.YY1655.lane5.NoIndex.L005",1
"X550.L1S92.s.1.sequence","X550.L1S92.s.1.sequence",1
"X894.YY959.lane3.NoIndex.L003","X894.YY959.lane3.NoIndex.L003",1
"X894.OS584.lane3.NoIndex.L003","X894.OS584.lane3.NoIndex.L003",1
"X1773.Turdus.oliv1.lgi","X1773.Turdus.oliv1.lgi",1
"X1734.LD.NBS1067E","X1734.LD.NBS1067E",1
"X1056.Myr.tri.Seat.4.03H10","X1056.Myr.tri.Seat.4.03H10",1
"X894.F1457.lane5.NoIndex.L005","X894.F1457.lane5.NoIndex.L005",1
"X550.L1S202.s.1.sequence","X550.L1S202.s.1.sequence",1
"X1773.Columb.passer1","X1773.Columb.passer1",1
"X2300.BB.12.colon","X2300.BB.12.colon",1
"X2300.BB.4085.anus","X2300.BB.4085.anus",1
"X894.OS591.lane3.NoIndex.L003","X894.OS591.lane3.NoIndex.L003",1
"X1774.35Fecal23.10.09","X1774.35Fecal23.10.09",1
"X894.F1570.lane5.NoIndex.L005","X894.F1570.lane5.NoIndex.L005",1
"X894.SV1424.lane5.NoIndex.L005","X894.SV1424.lane5.NoIndex.L005",1
"X1773.Thraupis.palm1.ugi","X1773.Thraupis.palm1.ugi",1
"X1773.Columb.passer4","X1773.Columb.passer4",1
"X1773.Columb.passer5.gizz","X1773.Columb.passer5.gizz",1
"X894.UY792.lane3.NoIndex.L003","X894.UY792.lane3.NoIndex.L003",1
"X1734.LD.NBS1051F","X1734.LD.NBS1051F",1
"X1773.Salt.max4.ugi","X1773.Salt.max4.ugi",1
"X894.F1455.lane5.NoIndex.L005","X894.F1455.lane5.NoIndex.L005",1
"X1056.Pri.max.Seat.2.13B02","X1056.Pri.max.Seat.2.13B02",1
"X1734.LD.NBS1054E","X1734.LD.NBS1054E",1
"X940.CR.54.Fecal","X940.CR.54.Fecal",1
"X894.SV1543.lane5.NoIndex.L005","X894.SV1543.lane5.NoIndex.L005",1
"X894.OS1922.lane2.NoIndex.L002","X894.OS1922.lane2.NoIndex.L002",1
"X1773.Turdus.oliv2.lgi","X1773.Turdus.oliv2.lgi",1
"X550.L2S77.s.2.sequence","X550.L2S77.s.2.sequence",1
"X2300.BB.4064.colon","X2300.BB.4064.colon",1
"X1734.LD.Ptepar1","X1734.LD.Ptepar1",1
"X1056.Myr.tri.Seat.21.04K01","X1056.Myr.tri.Seat.21.04K01",1
"X1734.LD.NBS1068E","X1734.LD.NBS1068E",1
"X1773.Thraupis.gauco1.lgi","X1773.Thraupis.gauco1.lgi",1
"X894.F1440.lane5.NoIndex.L005","X894.F1440.lane5.NoIndex.L005",1
"X1773.Platy.flav1.gizz","X1773.Platy.flav1.gizz",2
"X894.YY965.lane5.NoIndex.L005","X894.YY965.lane5.NoIndex.L005",1
"X963.Iguana.78.051611.LAB.vial.661","X963.Iguana.78.051611.LAB.vial.661",1
"X894.SV1770.lane5.NoIndex.L005","X894.SV1770.lane5.NoIndex.L005",1
"X894.GV998.lane5.NoIndex.L005","X894.GV998.lane5.NoIndex.L005",1
"X1696.CT0016.2","X1696.CT0016.2",1
"X940.CR.58.Fecal","X940.CR.58.Fecal",1
"X1734.LD.NBS1073B","X1734.LD.NBS1073B",2
"X1734.LD.QCAZ.M51307","X1734.LD.QCAZ.M51307",2
"X1056.Myr.tri.Seat.20.04K11","X1056.Myr.tri.Seat.20.04K11",1
"X1734.LD.NBS1051E","X1734.LD.NBS1051E",1
"X1773.Turdus.oliv2.ugi","X1773.Turdus.oliv2.ugi",1
"X1774.41Fecal23.10.09","X1774.41Fecal23.10.09",1
"X1774.302.Inte.Puer","X1774.302.Inte.Puer",1
"X1774.5.Inte.Puer","X1774.5.Inte.Puer",1
"X1773.Salt.max4.lgi","X1773.Salt.max4.lgi",1
"X894.F1454.lane5.NoIndex.L005","X894.F1454.lane5.NoIndex.L005",1
"X1773.Columb.passer6.lgi","X1773.Columb.passer6.lgi",1
"X940.CR.47.Fecal","X940.CR.47.Fecal",1
"X1734.LD.NBS1079E","X1734.LD.NBS1079E",1
"X1734.LD.Ptepar2","X1734.LD.Ptepar2",1
"X1773.Columb.passer8.crop","X1773.Columb.passer8.crop",1
"X1773.Thraupis.palm1.lgi","X1773.Thraupis.palm1.lgi",1
"X940.P.04.Fecal","X940.P.04.Fecal",1
"X1734.LD.NBS1053E","X1734.LD.NBS1053E",1
"X1773.Salt.max2.lgi","X1773.Salt.max2.lgi",1
"X1774.64Fecal24.10.09","X1774.64Fecal24.10.09",1
"X1773.Zono.capensis2.ugi","X1773.Zono.capensis2.ugi",1
"X1696.CT0005.0A","X1696.CT0005.0A",1
"X1774.24Fecal22.10.09","X1774.24Fecal22.10.09",1
"X894.YY1652.lane5.NoIndex.L005","X894.YY1652.lane5.NoIndex.L005",1
"X1773.Rhamp.carbo3.ugi","X1773.Rhamp.carbo3.ugi",1
"X894.SV1546.lane5.NoIndex.L005","X894.SV1546.lane5.NoIndex.L005",1
"X894.C1525.lane5.NoIndex.L005","X894.C1525.lane5.NoIndex.L005",1
"X963.Iguana.14.053010.BCO.vial.190","X963.Iguana.14.053010.BCO.vial.190",1
"X1773.Columb.passer1.ugi","X1773.Columb.passer1.ugi",1
"X940.CARP.28.Fecal","X940.CARP.28.Fecal",1
"X1064.G.CV284","X1064.G.CV284",1
"X1056.Pri.max.Seat.04J09","X1056.Pri.max.Seat.04J09",1
"X1774.67Fecal24.10.09","X1774.67Fecal24.10.09",1
"X940.P.01.Fecal","X940.P.01.Fecal",1
"X1696.CT0005.0B","X1696.CT0005.0B",1
"X894.C1524.lane5.NoIndex.L005","X894.C1524.lane5.NoIndex.L005",1
"X894.YY1653.lane5.NoIndex.L005","X894.YY1653.lane5.NoIndex.L005",1
"X1773.Zono.capensis2.lgi","X1773.Zono.capensis2.lgi",1
"X1773.Rhamp.carbo1.gizz","X1773.Rhamp.carbo1.gizz",1
"X1696.CT0003.2","X1696.CT0003.2",1
"X1696.CT0010.3B","X1696.CT0010.3B",1
"X1773.Rhamp.carbo2.ugi","X1773.Rhamp.carbo2.ugi",1
"X1734.LD.NBS1080E","X1734.LD.NBS1080E",1
"X894.SL877.lane3.NoIndex.L003","X894.SL877.lane3.NoIndex.L003",1
"X2300.BB.08.anus","X2300.BB.08.anus",1
"X1056.Zae.pic.Mend.2","X1056.Zae.pic.Mend.2",1
"X1773.Rhamp.carbo1.ugi","X1773.Rhamp.carbo1.ugi",1
"X894.F1453.lane5.NoIndex.L005","X894.F1453.lane5.NoIndex.L005",1
"X1773.Salt.max1.ugi","X1773.Salt.max1.ugi",1
"X1773.Thraupis.gauco2","X1773.Thraupis.gauco2",1
"X1773.Zono.capensis1.lgi","X1773.Zono.capensis1.lgi",1
"X894.C1518.lane5.NoIndex.L005","X894.C1518.lane5.NoIndex.L005",1
"X1056.Chl.tru.Mend.1","X1056.Chl.tru.Mend.1",1
"X1734.LD.NBS1047C","X1734.LD.NBS1047C",2
"X1773.Zono.capensis2.gizz","X1773.Zono.capensis2.gizz",1
"X1734.LD.DTS1230","X1734.LD.DTS1230",1
"X1773.Chirox.lance3.gizz","X1773.Chirox.lance3.gizz",1
"X894.F1561.lane5.NoIndex.L005","X894.F1561.lane5.NoIndex.L005",1
"X1734.LD.Urobil1","X1734.LD.Urobil1",2
"X1773.Columb.passer2.lgi","X1773.Columb.passer2.lgi",1
"X1734.BD.NBS1062","X1734.BD.NBS1062",2
"X1056.Myr.tri.Seat.1.07C04","X1056.Myr.tri.Seat.1.07C04",1
"X1734.LD.QCAZ.M51309","X1734.LD.QCAZ.M51309",1
"X1734.LD.NBS1060E","X1734.LD.NBS1060E",1
"X940.CR.35.Fecal","X940.CR.35.Fecal",1
"X894.F1560.lane5.NoIndex.L005","X894.F1560.lane5.NoIndex.L005",1
"X1734.LD.NBS1074E","X1734.LD.NBS1074E",1
"X1773.Columb.talpa6.gizz","X1773.Columb.talpa6.gizz",1
"X1056.Zae.pic.Mend.1","X1056.Zae.pic.Mend.1",1
"X894.C1519.lane5.NoIndex.L005","X894.C1519.lane5.NoIndex.L005",1
"X1773.Zono.capensis1.ugi","X1773.Zono.capensis1.ugi",1
"X1773.Salt.max1.lgi","X1773.Salt.max1.lgi",1
"X1774.21Fecal22.10.09","X1774.21Fecal22.10.09",1
"X894.GV1903.lane2.NoIndex.L002","X894.GV1903.lane2.NoIndex.L002",1
"X894.YY1148.lane5.NoIndex.L005","X894.YY1148.lane5.NoIndex.L005",1
"X1773.Rhamp.carbo1.lgi","X1773.Rhamp.carbo1.lgi",1
"X1734.LD.Perkap1","X1734.LD.Perkap1",2
"X1734.LD.DTS1222","X1734.LD.DTS1222",1
"X2300.BB.15.anus","X2300.BB.15.anus",1
"X894.OS1246.lane5.NoIndex.L005","X894.OS1246.lane5.NoIndex.L005",1
"X1773.Columb.passer1.gizz","X1773.Columb.passer1.gizz",1
"X1696.CT0015.2","X1696.CT0015.2",1
"X1734.LD.Glosor1","X1734.LD.Glosor1",2
"X1774.60.Inte.Puer","X1774.60.Inte.Puer",1
"X1064.G.CV324","X1064.G.CV324",1
"X894.UY718.lane3.NoIndex.L003","X894.UY718.lane3.NoIndex.L003",1
"X894.OR386.lane3.NoIndex.L003","X894.OR386.lane3.NoIndex.L003",1
"X1056.Myr.tri.Seat.5.3502","X1056.Myr.tri.Seat.5.3502",1
"X1774.220.Inte.Puer","X1774.220.Inte.Puer",1
"X940.CARP.10.Fecal","X940.CARP.10.Fecal",1
"X894.OS589.lane3.NoIndex.L003","X894.OS589.lane3.NoIndex.L003",1
"X1064.G.CV92","X1064.G.CV92",1
"X894.F1568.lane5.NoIndex.L005","X894.F1568.lane5.NoIndex.L005",1
"X1773.Columb.talpa5.crop","X1773.Columb.talpa5.crop",1
"X894.F1556.lane5.NoIndex.L005","X894.F1556.lane5.NoIndex.L005",1
"X2300.BB.05.colon","X2300.BB.05.colon",1
"X963.Iguana.164.052711.GAM.vial.763","X963.Iguana.164.052711.GAM.vial.763",1
"X894.UY733.lane3.NoIndex.L003","X894.UY733.lane3.NoIndex.L003",1
"X1773.Rhamp.carbo2.gizz","X1773.Rhamp.carbo2.gizz",1
"X894.UY732.lane3.NoIndex.L003","X894.UY732.lane3.NoIndex.L003",1
"X894.MR948.lane3.NoIndex.L003","X894.MR948.lane3.NoIndex.L003",1
"X1734.BD.ERD509","X1734.BD.ERD509",1
"X1734.LD.NBS1070E","X1734.LD.NBS1070E",2
"X1734.LD.Glosor2","X1734.LD.Glosor2",1
"X894.OS588.lane3.NoIndex.L003","X894.OS588.lane3.NoIndex.L003",1
"X1734.BD.NBS1059","X1734.BD.NBS1059",1
"X1734.BD.NBS1086","X1734.BD.NBS1086",1
"X1773.Salt.max2.gizz","X1773.Salt.max2.gizz",1
"X1734.LD.DTS1221","X1734.LD.DTS1221",1
"X1696.CT0012.3","X1696.CT0012.3",1
"X1734.LD.NBS1084B","X1734.LD.NBS1084B",1
"X550.L1S124.s.1.sequence","X550.L1S124.s.1.sequence",1
"X1774.46Fecal23.10.09","X1774.46Fecal23.10.09",1
"X550.L1S118.s.1.sequence","X550.L1S118.s.1.sequence",1
"X1734.LD.DTS1225","X1734.LD.DTS1225",2
"X894.SV1768.lane5.NoIndex.L005","X894.SV1768.lane5.NoIndex.L005",1
"X963.Iguana.54.062110.HPT.vial.260","X963.Iguana.54.062110.HPT.vial.260",1
"X1773.Thraupis.palm1.gizz","X1773.Thraupis.palm1.gizz",1
"X1774.31Fecal23.10.09","X1774.31Fecal23.10.09",1
"X894.F1459.lane5.NoIndex.L005","X894.F1459.lane5.NoIndex.L005",1
"X1064.G.CV263","X1064.G.CV263",1
"X1056.Pri.max.Seat.2.02V07","X1056.Pri.max.Seat.2.02V07",1
"X894.UY687.lane3.NoIndex.L003","X894.UY687.lane3.NoIndex.L003",1
"X1064.G.CJV199","X1064.G.CJV199",1
"X1734.LD.NBS1049B","X1734.LD.NBS1049B",2
"X894.MR183.lane3.NoIndex.L003","X894.MR183.lane3.NoIndex.L003",1
"X894.YY1873.lane2.NoIndex.L002","X894.YY1873.lane2.NoIndex.L002",1
"X1734.LD.NBS1081E","X1734.LD.NBS1081E",2
"X1773.Columb.talpa3.lgi","X1773.Columb.talpa3.lgi",1
"X894.SV1401.lane5.NoIndex.L005","X894.SV1401.lane5.NoIndex.L005",1
"X1734.LD.DTS1224","X1734.LD.DTS1224",1
"X894.UY730.lane3.NoIndex.L003","X894.UY730.lane3.NoIndex.L003",1
"X1774.44.Inte.Puer","X1774.44.Inte.Puer",1
"X1773.Thraupis.gauco2.gizz","X1773.Thraupis.gauco2.gizz",1
"X894.F1554.lane5.NoIndex.L005","X894.F1554.lane5.NoIndex.L005",1
"X1734.LD.Sl1","X1734.LD.Sl1",1
"X1773.Columb.talpa3.crop","X1773.Columb.talpa3.crop",1
"X1774.L543.Inte.Puer","X1774.L543.Inte.Puer",1
"X1774.258.Inte.Puer","X1774.258.Inte.Puer",1
"X963.Iguana.A4.2.061211.BOH.vial.980","X963.Iguana.A4.2.061211.BOH.vial.980",1
"X1774.1Fecal22.10.09","X1774.1Fecal22.10.09",1
"X894.YY1802.lane5.NoIndex.L005","X894.YY1802.lane5.NoIndex.L005",1
"X894.UY686.lane3.NoIndex.L003","X894.UY686.lane3.NoIndex.L003",1
"X1696.CT0012.4","X1696.CT0012.4",1
"X940.CARP.25.Fecal","X940.CARP.25.Fecal",1
"X1773.Zono.capensis1.gizz","X1773.Zono.capensis1.gizz",1
"X1734.BD.NBS1054","X1734.BD.NBS1054",1
"X550.L1S47.s.1.sequence","X550.L1S47.s.1.sequence",1
"X894.YY1204.lane5.NoIndex.L005","X894.YY1204.lane5.NoIndex.L005",1
"X1774.187.Inte.Puer","X1774.187.Inte.Puer",1
"X940.P.16.Fecal","X940.P.16.Fecal",1
"X1734.BD.ERD504","X1734.BD.ERD504",1
"X940.RD.04.Fecal","X940.RD.04.Fecal",1
"X894.SV1322.lane5.NoIndex.L005","X894.SV1322.lane5.NoIndex.L005",1
"X1734.BD.ERD505","X1734.BD.ERD505",2
"X1734.LD.NBS1086E","X1734.LD.NBS1086E",1
"X1774.462.Inte.Puer","X1774.462.Inte.Puer",1
"X894.C1517.lane5.NoIndex.L005","X894.C1517.lane5.NoIndex.L005",1
"X1734.BD.NBS1055","X1734.BD.NBS1055",1
"X1773.Platy.flav2.ugi","X1773.Platy.flav2.ugi",1
"X1773.Columb.talpa5.ugi","X1773.Columb.talpa5.ugi",1
"X1064.G.CV238","X1064.G.CV238",1
"X1773.Chirox.lance2.lgi","X1773.Chirox.lance2.lgi",2
"X940.CR.29.Fecal","X940.CR.29.Fecal",1
"X1773.Chirox.lance2.ugi","X1773.Chirox.lance2.ugi",2
"X1773.Platy.flav2.lgi","X1773.Platy.flav2.lgi",1
"X550.L1S370.s.1.sequence","X550.L1S370.s.1.sequence",1
"X894.C1516.lane5.NoIndex.L005","X894.C1516.lane5.NoIndex.L005",1
"X1774.66Fecal24.10.09","X1774.66Fecal24.10.09",1
"X1773.Columb.talpa2.gizz","X1773.Columb.talpa2.gizz",1
"X1064.G.CJV200","X1064.G.CJV200",1
"X1734.BD.ERD507","X1734.BD.ERD507",1
"X1056.Myr.tri.Seat.05D02","X1056.Myr.tri.Seat.05D02",1
"X963.Iguana.26.052910.BCO.vial.128","X963.Iguana.26.052910.BCO.vial.128",1
"X2300.BB.4085.colon","X2300.BB.4085.colon",1
"X1734.LD.NBS1055E","X1734.LD.NBS1055E",1
"X940.CR.36.Fecal","X940.CR.36.Fecal",1
"X894.OS439.lane3.NoIndex.L003","X894.OS439.lane3.NoIndex.L003",1
"X1773.Chirox.lance3.lgi","X1773.Chirox.lance3.lgi",2
"X1773.Salt.max3.gizz","X1773.Salt.max3.gizz",1
"X1734.LD.NBS1069E","X1734.LD.NBS1069E",1
"X894.F1463.lane5.NoIndex.L005","X894.F1463.lane5.NoIndex.L005",1
"X1734.LD.NBS1083E","X1734.LD.NBS1083E",1
"X1734.BD.ERD506","X1734.BD.ERD506",1
"X2300.BB.4067.anus","X2300.BB.4067.anus",1
"X1734.LD.Stulil2","X1734.LD.Stulil2",1
"X894.F1461.lane5.NoIndex.L005","X894.F1461.lane5.NoIndex.L005",1
"X1734.LD.NBS1072E","X1734.LD.NBS1072E",1
"X1734.BD.ERD503","X1734.BD.ERD503",1
"X894.SL847.lane3.NoIndex.L003","X894.SL847.lane3.NoIndex.L003",1
"X1734.LD.Artlit1","X1734.LD.Artlit1",1
"X963.Iguana.225.061011.SUR.vial.959","X963.Iguana.225.061011.SUR.vial.959",1
"X963.Iguana.159.052511.SUR.vial.793","X963.Iguana.159.052511.SUR.vial.793",1
"X1734.BD.ERD502","X1734.BD.ERD502",1
"X1774.451.Inte.Puer","X1774.451.Inte.Puer",1
"X940.CR.52.Fecal","X940.CR.52.Fecal",1
"X1734.BD.NBS1052","X1734.BD.NBS1052",2
"X894.F1553.lane5.NoIndex.L005","X894.F1553.lane5.NoIndex.L005",1
"X1773.Chirox.lance1.ugi","X1773.Chirox.lance1.ugi",1
"X1773.Columb.talpa6.lgi","X1773.Columb.talpa6.lgi",1
"X894.UY695.lane3.NoIndex.L003","X894.UY695.lane3.NoIndex.L003",1
"X1773.Platy.flav1.ugi","X1773.Platy.flav1.ugi",2
"X1773.Columb.talpa6.ugi","X1773.Columb.talpa6.ugi",1
"X1773.Chirox.lance1.lgi","X1773.Chirox.lance1.lgi",1
"X1773.Chirox.lance1.gizz","X1773.Chirox.lance1.gizz",1
"X722.M11Fcsw.1.s.1.1.sequence","X722.M11Fcsw.1.s.1.1.sequence",1
"X2300.BB.07.anus","X2300.BB.07.anus",1
"X894.MR184.lane3.NoIndex.L003","X894.MR184.lane3.NoIndex.L003",1
"X894.YY1106.lane5.NoIndex.L005","X894.YY1106.lane5.NoIndex.L005",1
"X894.YY982.lane5.NoIndex.L005","X894.YY982.lane5.NoIndex.L005",1
"X550.L2S53.s.2.sequence","X550.L2S53.s.2.sequence",1
"X550.L1S223.s.1.sequence","X550.L1S223.s.1.sequence",1
"X1773.Platy.flav2.gizz","X1773.Platy.flav2.gizz",1
"X894.YY1649.lane5.NoIndex.L005","X894.YY1649.lane5.NoIndex.L005",1
"X1734.BD.NBS1051","X1734.BD.NBS1051",1
"X894.UY1784.lane5.NoIndex.L005","X894.UY1784.lane5.NoIndex.L005",1
